time,frequency,confidence
0.000,288.829,0.740882
0.050,292.844,0.920851
0.100,293.216,0.932019
0.150,293.057,0.928034
0.200,292.592,0.918604
0.250,317.152,0.600768
0.300,347.363,0.842341
0.350,349.082,0.900185
0.400,348.901,0.899261
0.450,348.970,0.905107
0.500,349.368,0.896899
0.550,397.839,0.221153
0.600,440.559,0.885965
0.650,439.148,0.902940
0.700,440.919,0.933223
0.750,452.940,0.930745
0.800,515.714,0.428020
0.850,523.007,0.885521
0.900,524.887,0.922645
0.950,524.391,0.923810
1.000,524.069,0.919822
1.050,524.441,0.927705
1.100,524.653,0.924062
1.150,524.903,0.925736
1.200,524.926,0.926957
1.250,524.645,0.924571
1.300,524.971,0.925943
1.350,525.108,0.923874
1.400,524.929,0.928964
1.450,524.739,0.925184
1.500,524.930,0.928478
1.550,524.680,0.921000
1.600,524.734,0.924758
1.650,524.529,0.919698
1.700,524.801,0.927662
1.750,525.193,0.924172
1.800,524.667,0.927847
1.850,524.908,0.929377
1.900,524.642,0.924772
1.950,524.813,0.930037
2.000,524.639,0.925423
2.050,508.185,0.396534
2.100,461.390,0.842859
2.150,417.688,0.881679
2.200,390.745,0.889140
2.250,371.120,0.844809
2.300,340.682,0.838277
2.350,329.378,0.342315
2.400,328.982,0.852478
2.450,328.588,0.859724
2.500,329.114,0.884290
2.550,328.301,0.860964
2.600,330.995,0.798607
2.650,370.104,0.729111
2.700,393.262,0.878747
2.750,392.335,0.904723
2.800,392.492,0.913993
2.850,447.988,0.655970
2.900,492.882,0.888395
2.950,493.243,0.889506
3.000,494.199,0.925981
3.050,493.811,0.915316
3.100,493.517,0.917650
3.150,493.757,0.913558
3.200,494.362,0.926221
3.250,495.317,0.929537
3.300,494.786,0.931810
3.350,494.715,0.925091
3.400,494.413,0.927629
3.450,494.378,0.917217
3.500,494.222,0.920712
3.550,494.298,0.914631
3.600,494.623,0.911588
3.650,495.475,0.898246
3.700,495.312,0.872113
3.750,494.956,0.688095
3.800,494.278,0.907785
3.850,494.930,0.848881
3.900,494.546,0.918539
3.950,493.818,0.902873
4.000,494.544,0.920498
4.050,494.386,0.925169
4.100,494.401,0.920977
4.150,494.080,0.915042
4.200,493.499,0.889172
4.250,494.772,0.705041
4.300,453.581,0.396623
4.350,424.261,0.346610
4.400,402.050,0.193511
4.450,388.067,0.202384
4.500,383.957,0.142781
4.550,389.452,0.156568
4.600,384.132,0.089978
4.650,387.859,0.666673
4.700,390.812,0.392911
4.750,389.459,0.360160
4.800,387.411,0.226402
4.850,385.895,0.238194
4.900,386.750,0.333217
4.950,384.135,0.288569
5.000,386.816,0.300084
5.050,388.557,0.156262
5.100,383.057,0.186380
